Label,Message,Length,Tokens
ham,Is avatar supposed to have subtoitles,37,"['avatar', 'supposed', 'subtoitles']"
ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,87,"['watch', 'lor', 'saw', 'swatch', 'thk', 'ok', 'ard', 'need', 'opinion', 'leh']"
ham,Dude just saw a parked car with its sunroof popped up. Sux,58,"['dude', 'saw', 'parked', 'car', 'sunroof', 'popped', 'sux']"
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,"['rcv', 'msgs', 'chat', 'svc', 'free', 'hardcore', 'services', 'text', 'age', 'verify', 'yr', 'network', 'try']"
ham,Anything lor. Juz both of us lor.,33,"['lor', 'juz', 'lor']"
spam,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.,153,"['amazing', 'xxx', 'video', 'sent', 'enjoy', 'vid', 'text', 'keyword', 'video']"
ham,Lol that's different. I don't go trying to find every real life photo you ever took.,84,"['lol', 'different', 'trying', 'find', 'real', 'life', 'photo', 'took']"
ham,"Customer place, i wil cal u sir.",32,"['customer', 'place', 'wil', 'cal', 'sir']"
ham,"Sure, whenever you show the fuck up &gt;:(",42,"['sure', 'fuck', 'gt']"
ham,Sent me de webadres for geting salary slip,42,"['sent', 'de', 'webadres', 'geting', 'salary', 'slip']"
spam,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,158,"['chosen', 'receive', 'award', 'pls', 'claim', 'number', 'collect', 'award', 'selected', 'receive', 'valued', 'mobile', 'customer']"
ham,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,127,"['told', 'tell', 'stupid', 'hear', 'wo', 'nt', 'tell', 'dad', 'called', 'brother', 'spoken']"
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,134,"['message', 'free', 'welcome', 'new', 'improved', 'sex', 'dogging', 'club', 'unsubscribe', 'service', 'reply', 'stop']"
ham,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",461,"['fast', 'approaching', 'wish', 'happy', 'new', 'year', 'happy', 'sankranti', 'happy', 'republic', 'day', 'happy', 'valentines', 'day', 'happy', 'shivratri', 'happy', 'ugadi', 'happy', 'fools', 'day', 'happy', 'day', 'happy', 'independence', 'day', 'happy', 'friendship', 'mother', 'father', 'teachers', 'childrens', 'day', 'amp', 'happy', 'birthday', 'happy', 'ganesh', 'festival', 'happy', 'dasara', 'happy', 'diwali', 'happy', 'christmas', 'good', 'mornings', 'afternoons', 'evenings', 'nights', 'rememberi', 'wishing', 'raj']"
ham,"Hiya, had a good day? Have you spoken to since the weekend?",59,"['hiya', 'good', 'day', 'spoken', 'weekend']"
ham,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,134,"['nt', 'mus', 'ask', 'wat', 'meet', 'lunch', 'den', 'n', 'meet', 'lor', 'wan', 'ask', 'da', 'ge', 'confirm', 'w', 'asap']"
ham,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,50,"['hey', 'congrats', 'd', 'luv', 've', 'home']"
ham,"That's what I love to hear :V see you sundayish, then",53,"['love', 'hear', 'v', 'sundayish']"
ham,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",151,"['good', 'afternon', 'love', 'today', 'hope', 'good', 'maybe', 'interviews', 'wake', 'miss', 'babe', 'passionate', 'kiss', 'sea']"
ham,Except theres a chick with huge boobs.,38,"['s', 'chick', 'huge', 'boobs']"
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,150,"['wnt', 'buy', 'bmw', 'car', 'urgently', 'vry', 'hv', 'shortage', 'source', 'arng', 'dis', 'amt', 'lacs', 'thats', 'prob']"
ham,Jus finish watching tv... U?,28,"['jus', 'finish', 'watching', 'tv']"
ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  ,105,"['huh', 'got', 'lesson', 'lei', 'n', 'thinkin', 'going', 'sch', 'earlier', 'n', 'tot', 'parkin', 'kent', 'vale']"
ham,So do you have samus shoulders yet,34,"['samus', 'shoulders']"
ham,In sch but neva mind u eat 1st lor..,36,"['sch', 'neva', 'mind', 'eat', 'lor']"
ham,Uncle Abbey! Happy New Year. Abiola,35,"['uncle', 'abbey', 'happy', 'new', 'year', 'abiola']"
ham,Ü still attending da talks?,27,"['ü', 'attending', 'da', 'talks']"
ham,"Aight, call me once you're close",32,"['aight', 'close']"
ham,Unni thank you dear for the recharge..Rakhesh,45,"['unni', 'thank', 'dear', 'recharge', 'rakhesh']"
ham,Ü dun wan to watch infernal affair?,35,"['ü', 'dun', 'wan', 'watch', 'infernal', 'affair']"
ham,Shall i come to get pickle,26,"['shall', 'come', 'pickle']"
ham,Sorry i din lock my keypad.,27,"['sorry', 'din', 'lock', 'keypad']"
ham,Dont you have message offer,27,"['nt', 'message', 'offer']"
ham,"Arms fine, how's Cardiff and uni? ",34,"['arms', 'fine', 'cardiff', 'uni']"
ham,Thank u!,8,['thank']
ham,Why i come in between you people,32,"['come', 'people']"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,"['ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']"
ham,Are you ok. What happen to behave like this,43,"['ok', 'happen', 'behave', 'like']"
ham,Nationwide auto centre (or something like that) on Newport road. I liked them there,83,"['nationwide', 'auto', 'centre', 'like', 'newport', 'road', 'liked']"
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,91,"['planned', 'going', 'join', 'company', 'jan', 'know', 'happen']"
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,99,"['important', 'customer', 'service', 'announcement', 'premier', 'freephone']"
ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",62,"['lol', 'grins', 'babe', 'thanks', 'thinking']"
ham,If he started searching he will get job in few days.he have great potential and talent.,87,"['started', 'searching', 'job', 'great', 'potential', 'talent']"
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,158,"['hope', 'result', 'consistently', 'intelligent', 'kind', 'start', 'asking', 'practicum', 'links', 'ears', 'open', 'best', 'ttyl']"
ham,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.,81,"['dun', 'b', 'sad', 'dun', 'thk', 'abt', 'concentrate', 'papers']"
ham,Ok no prob. Take ur time.,25,"['ok', 'prob', 'time']"
ham,Good evening! How are you?,26,"['good', 'evening']"
spam,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",152,"['chance', 'claim', 'worth', 'discount', 'vouchers', 'today', 'text', 'shop', 'savamob', 'offers', 'mobile', 't', 'cs', 'savamob', 'sub']"
ham,But i'm surprised she still can guess right lor...,50,"['surprised', 'guess', 'right', 'lor']"
ham,Are you planning to come chennai?,33,"['planning', 'come', 'chennai']"
ham,K:)k..its good:)when are you going?,35,['going']
ham,Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,75,"['nvm', 'going', 'wear', 'sport', 'shoes', 'going', 'late', 'leh']"
ham,1 in cbe. 2 in chennai.,23,"['cbe', 'chennai']"
ham,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,116,"['lol', 'actually', 'send', 'pic', 'right', 'wanna', 'pose', 'comb', 'hair', 'dryer']"
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,119,"['gon', 'na', 'sorry', 'normal', 'starting', 'panic', 'time', 'sorry', 'seeing', 'tuesday']"
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,84,"['ummmmmaah', 'happy', 'returns', 'd', 'day', 'dear', 'sweet', 'heart', 'happy', 'birthday', 'dear']"
ham,No need for the drug anymore.,29,"['need', 'drug', 'anymore']"
spam,85233 FREE>Ringtone!Reply REAL,30,"['free', 'real']"
ham,I like you peoples very much:) but am very shy pa.,50,"['like', 'peoples', 'shy', 'pa']"
ham,I'm ok. Will do my part tomorrow,32,"['ok', 'tomorrow']"
ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",134,"['actually', 'mobile', 'msg', 'm', 'work', 'online', 'need', 'send', 'sent', 'msg', 'wil', 'explain', 'later']"
ham,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,109,"['hope', 'text', 'meets', 'smiling', 'let', 'text', 'reason', 'smile', 'beautiful', 'day']"
ham,As in i want custom officer discount oh.,40,"['want', 'custom', 'officer', 'discount', 'oh']"
ham,Does she usually take fifteen fucking minutes to respond to a yes or no question,80,"['usually', 'fucking', 'minutes', 'respond', 'yes', 'question']"
ham,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",92,"['late', 'tomorrow', 'care', 'sweet', 'dreams', 'ummifying', 'bye']"
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,142,"['purity', 'friendship', 'smiling', 'reading', 'forwarded', 'message', 'smiling', 'seeing', 'gud', 'evng']"
ham,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng...",78,"['short', 'cute', 'good', 'person', 'nt', 'try', 'prove', 'gud', 'mrng']"
ham,I dont know oh. Hopefully this month.,37,"['nt', 'know', 'oh', 'hopefully', 'month']"
ham,If you're thinking of lifting me one then no.,45,"['thinking', 'lifting']"
ham,here is my new address -apples&pairs&all that malarky,53,"['new', 'address', 'malarky']"
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,150,"['horrible', 'eat', 'macs', 'eat', 'forgot', 'abt', 'rite', 'long', 'reply', 'thk', 'toot', 'b', 'prepared', 'wat', 'shall', 'eat']"
ham,Hey do you want anything to buy:),33,"['hey', 'want', 'buy']"
ham,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,105,"['love', 'set', 'soul', 'fire', 'spark', 'flame', 'big', 'rawring', 'flame', 'xoxo']"
ham,"He will, you guys close?",24,"['guys', 'close']"
ham,Ok lor...,9,"['ok', 'lor']"
ham,Dunno dat's wat he told me. Ok lor...,37,"['dunno', 'dat', 'wat', 'told', 'ok', 'lor']"
spam,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,143,"['freemsg', 'hi', 'baby', 'wow', 'got', 'new', 'cam', 'moby', 'wanna', 'c', 'hot', 'pic', 'fancy', 'rply', 'chat', 'hlp']"
ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,237,"['bought', 'test', 'yesterday', 'lets', 'know', 'exact', 'day', 'pls', 'pls', 'nt', 'fret', 'know', 'r', 'worried', 'pls', 'relax', 'past', 'history', 'need', 'tell']"
ham,Fine. Do you remember me.,25,"['fine', 'remember']"
ham,Great. Never been better. Each day gives even more reasons to thank God,71,"['great', 'better', 'day', 'gives', 'reasons', 'thank', 'god']"
ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",204,"['good', 'evening', 'sir', 'al', 'salam', 'happy', 'grace', 'god', 'got', 'offer', 'tayseer', 'tissco', 'allah', 'meet', 'visitor', 'india']"
ham,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...,89,"['gd', 'lor', 'shopping', 'got', 'stuff', 'wan', 'watch', 'infernal', 'affairs', 'come', 'lar']"
spam,You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,162,"['won', 'guaranteed', 'award', 'maybe', 'cash', 'claim', 'award', 'free', 'legitimat', 'efreefone', 'number', 'wat', 'think']"
ham,"Awesome, that gonna be soon or later tonight?",45,"['awesome', 'gon', 'na', 'soon', 'later', 'tonight']"
ham,Just got outta class gonna go gym.,34,"['got', 'outta', 'class', 'gon', 'na', 'gym']"
ham,K..give back my thanks.,23,"['k', 'thanks']"
ham,I'll talk to the others and probably just come early tomorrow then,66,"['talk', 'probably', 'come', 'early', 'tomorrow']"
ham,Sweet heart how are you?,24,"['sweet', 'heart']"
ham,I meant middle left or right?,29,"['meant', 'middle', 'left', 'right']"
ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?,81,"['enjoy', 'watching', 'playing', 'football', 'basketball', 'outdoors']"
ham,Cancel cheyyamo?and get some money back?,40,"['cancel', 'money']"
ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,83,"['oi', 'ami', 'parchi', 'na', 'kicchu', 'kaaj', 'korte', 'iccha', 'korche', 'na', 'phone', 'ta', 'tul', 'na', 'plz', 'plz']"
ham,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,116,"['cthen', 'thk', 'shd', 'b', 'enuff', 'got', 'conclusion', 'n', 'contents', 'pg', 'n', 'references', 'b', 'da', 'contents', 'pg', 'n', 'cover', 'pg']"
ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",88,"['awesome', 'remember', 'time', 'got', 'somebody', 'high', 'time', 'diesel', 'v']"
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,72,"['yetunde', 'class', 'run', 'water', 'ok', 'pls']"
ham,Yes just finished watching days of our lives. I love it.,56,"['yes', 'finished', 'watching', 'days', 'lives', 'love']"
ham,Then anything special?,22,['special']
ham,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,98,"['house', 'e', 'sky', 'dark', 'liao', 'raining', 'got', 'excuse', 'run', 'rite', 'hee']"
ham,Yes princess! I want to make you happy...,41,"['yes', 'princess', 'want', 'happy']"
ham,Do you like shaking your booty on the dance floor?,50,"['like', 'shaking', 'booty', 'dance', 'floor']"
ham,"Thursday night? Yeah, sure thing, we'll work it out then",56,"['thursday', 'night', 'yeah', 'sure', 'thing', 'work']"
ham,Wat r u doing now?,18,"['wat', 'r']"
ham,Thanks chikku..:-) gud nyt:-*,29,"['thanks', 'chikku', 'gud']"
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",154,"['hello', 'lover', 'goes', 'new', 'job', 'happy', 'think', 'wake', 'slave', 'send', 'teasing', 'kiss', 'sea']"
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,150,"['won', 'nokia', 'win', 'free', 'auction', 'send', 'nokia', 'hg', 'row']"
ham,I forgot 2 ask ü all smth.. There's a card on da present lei... How? Ü all want 2 write smth or sign on it?,107,"['forgot', 'ask', 'ü', 'smth', 'card', 'da', 'present', 'lei', 'ü', 'want', 'write', 'smth', 'sign']"
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,114,"['free', 'ringtone', 'weekly', 'ringtone', 'week', 'free', 'send', 'subpoly', 'week', 'stop']"
ham,Once free call me sir.,22,"['free', 'sir']"
ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",108,"['sorry', 'lot', 'friend', 'friend', 'stuff', 'talk', 'actual', 'guy', 'wants', 'buy']"
ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.,87,"['pain', 'moves', 'doctor']"
ham,Ok. No wahala. Just remember that a friend in need ...,54,"['ok', 'wahala', 'remember', 'friend', 'need']"
ham,You call him and tell now infront of them. Call him now.,56,"['tell', 'infront']"
ham,So i asked how's anthony. Dad. And your bf,42,"['asked', 'anthony', 'dad', 'bf']"
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u ,106,"['hello', 'beautiful', 'r', 'ok', 'kinda', 'ad', 'row', 'wiv', 'walked', 'pub', 'wanted', 'night', 'wiv', 'miss']"
ham,That's a shame! Maybe cld meet for few hrs tomo?,48,"['shame', 'maybe', 'cld', 'meet', 'hrs', 'tomo']"
ham,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,125,"['darling', 'sister', 'school', 'resuming', 'minimum', 'wait', 'period', 'reapply', 'care']"
ham,Wot is u up 2 then bitch?,25,"['wot', 'bitch']"
spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,136,"['urgent', 'mobile', 'number', 'awarded', 'prize', 'guaranteed', 'land', 'line', 'claim', 'valid']"
ham,Nan sonathaya soladha. Why boss?,32,"['nan', 'sonathaya', 'soladha', 'boss']"
ham,Anything...,11,[]
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,157,"['want', 'new', 'nokia', 'colour', 'phone', 'deliveredtomorrow', 'free', 'minutes', 'mobile', 'free', 'texts', 'free', 'camcorder', 'reply']"
ham,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.,110,"['cozy', 'exhausted', 'went', 'school', 'work', 'closed']"
ham,I'm okay. Chasing the dream. What's good. What are you doing next.,66,"['okay', 'chasing', 'dream', 'good']"
ham,"Goodmorning, today i am late for 2hrs. Because of back pain.",60,"['goodmorning', 'today', 'late', 'pain']"
ham,Yep. I do like the pink furniture tho.,38,"['yep', 'like', 'pink', 'furniture', 'tho']"
ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",162,"['walls', 'hearts', 'safe', 'getting', 'hurt', 'find', 'cares', 'break', 'walls', 'amp', 'closer', 'goodnoon']"
ham,Smith waste da.i wanna gayle.,29,"['smith', 'waste', 'wanna', 'gayle']"
ham,Jus came back fr lunch wif my sis only. U leh?,46,"['jus', 'came', 'fr', 'lunch', 'wif', 'sis', 'leh']"
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",147,"['love', 'brother', 'time', 'talk', 'english', 'grins', 'hey', 'muhommad', 'penny', 'says', 'hello', 'sea']"
ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,73,"['thanks', 'tescos', 'nice', 'gone', 'speak', 'soon']"
ham,Nope. Meanwhile she talk say make i greet you.,46,"['nope', 'talk', 'greet']"
ham,The battery is for mr adewale my uncle. Aka Egbon,49,"['battery', 'mr', 'adewale', 'uncle', 'aka', 'egbon']"
ham,"There're some people by mu, I'm at the table by lambda",54,"['people', 'mu', 'table', 'lambda']"
ham,Really? I crashed out cuddled on my sofa.,41,"['crashed', 'cuddled', 'sofa']"
ham,Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry,120,"['getting', 'tickets', 'walsall', 'tue', 'th', 'march', 'mate', 'getting', 'sat', 'ill', 'pay', 'treat', 'want', 'txt', 'bak']"
ham,Oh wow thats gay. Will firmware update help,43,"['oh', 'wow', 's', 'gay', 'firmware', 'update', 'help']"
ham,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,94,"['probably', 'wo', 'eat', 'today', 'think', 'gon', 'na', 'pop', 'weekend', 'miss']"
ham,"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat.",198,"['dear', 'friends', 'sorry', 'late', 'information', 'today', 'birthday', 'loving', 'details', 'log', 'face', 'book', 'number', 'nt', 'miss', 'delicious', 'treat']"
ham,"I know where the  &lt;#&gt;  is, I'll be there around 5",55,['know']
ham,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",189,"['dear', 'sir', 'salam', 'pleasure', 'meeting', 'today', 'tea', 'pleased', 'send', 'contact', 'number', 'save', 'regards']"
spam,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",157,"['thanks', 'ringtone', 'order', 'reference', 'number', 'mobile', 'charged', 'tone', 'arrive', 'customer', 'services']"
ham,Aiyah then i wait lor. Then u entertain me. Hee...,50,"['aiyah', 'wait', 'lor', 'entertain', 'hee']"
ham,Can a not?,10,[]
ham,Wow v v impressed. Have funs shopping!,38,"['wow', 'v', 'v', 'impressed', 'funs', 'shopping']"
ham,Well I'm going to be an aunty!,30,"['going', 'aunty']"
ham,Where can download clear movies. Dvd copies.,44,"['download', 'clear', 'movies', 'dvd', 'copies']"
ham,After completed degree. There is no use in joining finance.,59,"['completed', 'degree', 'use', 'joining', 'finance']"
ham,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!",148,"['set', 'place', 'heart', 'mind', 'mind', 'easily', 'forgets', 'heart', 'remember', 'wish', 'happy', 'valentines', 'day']"
ham,And is there a way you can send shade's stuff to her. And she has been wonderful too.,85,"['way', 'send', 'shade', 'stuff', 'wonderful']"
ham,I've reached home n i bathe liao... U can call me now...,56,"['reached', 'home', 'n', 'bathe', 'liao']"
ham,"Not yet chikku..going to room nw, i'm in bus..",46,"['chikku', 'going', 'room', 'nw', 'bus']"
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?,72,"['send', 'email', 'mind', 'times', 'night']"
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you,81,"['immediately', 'urgent', 'message', 'waiting']"
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,162,"['coming', 'thursday', 'yay', 'gon', 'na', 'ok', 'money', 'cheers', 'oh', 'yeah', 'alright', 's', 'school', 'work']"
ham,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !",150,"['hi', 'love', 'goes', 'day', 'fuck', 'morning', 'woke', 'dropped', 'cell', 'way', 'stairs', 'alright', 'phews', 'miss']"
ham,"Damn, poor zac doesn't stand a chance",37,"['damn', 'poor', 'zac', 'stand', 'chance']"
spam,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,153,"['join', 'uk', 'horniest', 'dogging', 'service', 'sex', 'sign', 'follow', 'instructions', 'txt', 'entry']"
ham,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,73,"['better', 'sleep', 'dun', 'disturb', 'liao', 'wake', 'msg', 'lor']"
ham,Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.,88,"['dude', 'makin', 'weirdy', 'brownies', 'sister', 'awesome', 'cookies', 'took', 'pics']"
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),113,"['s', 'training', 'manual', 'tech', 'password', 'reset', 'troubleshooting']"
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",153,"['new', 'mobiles', 'txt', 'nokia', 'collect', 'txtauction']"
ham,A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:),198,"['pure', 'hearted', 'person', 'wonderful', 'smile', 'makes', 'enemies', 'feel', 'guilty', 'enemy', 'catch', 'world', 'smile', 'goodmorning', 'amp', 'smiley', 'sunday']"
ham,Hey company elama po mudyadhu.,30,"['hey', 'company', 'elama', 'po', 'mudyadhu']"
ham,Bring it if you got it,22,"['bring', 'got']"
spam,"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",158,"['urgent', 'mobile', 'won', 'bonus', 'caller', 'prize', 'attempt', 'reach', 'asap']"
ham,Er yep sure. Props?,19,"['er', 'yep', 'sure', 'props']"
ham,Normally i use to drink more water daily:),42,"['normally', 'use', 'drink', 'water', 'daily']"
ham,That's y u haf 2 keep me busy...,32,"['y', 'haf', 'busy']"
ham,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?",95,"['sorry', 'flaked', 'night', 'shit', 'seriously', 'goin', 'roommate', 'tonight']"
ham,Whom you waited for yesterday,29,"['waited', 'yesterday']"
ham,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",117,"['friend', 'got', 'says', 'upping', 'order', 'grams', 'got']"
ham,How much u trying to get?,25,['trying']
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",159,"['urgent', 'awarded', 'complimentary', 'trip', 'eurodisinc', 'trav', 'claim', 'txt', 'dis']"
ham,Am I the only one who doesn't stalk profiles?,45,"['stalk', 'profiles']"
ham,Glad to see your reply.,23,"['glad', 'reply']"
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",226,"['world', 'running', 'feeling', 'admit', 'let', 'running', 'world', 'r', 'run']"
ham,"Yes, princess. Toledo.",22,"['yes', 'princess', 'toledo']"
ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!",135,"['nt', 'monkeys', 'wot', 'think', 'certainly', 'mind', 'friend', 'sleep', 'wiv', 'wud', 'annoyin']"
ham,Can't take any major roles in community outreach. You rock mel,62,"['major', 'roles', 'community', 'outreach', 'rock', 'mel']"
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype,74,"['lag', 'sad', 'touch', 'thanks', 'skype']"
spam,U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870,126,"['bin', 'awarded', 'play', 'instant', 'cash', 'claim', 'player', 'wins', 'min', 'optout']"
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,122,"['great', 'hope', 'connections', 'mode', 'men', 'cos', 'know', 'old', 'friends', 'lead', 'today']"
ham,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.",138,"['science', 'tells', 'chocolate', 'melt', 'sunlight', 'walk', 'sunlight', 'bcoz', 'want', 'loss', 'sweet', 'friend']"
